di,的 地 第 提 低 底 帝 敌 弟 抵 隶 滴 递 涤
de,的 得 德
yi,一 以 义 意 已 议 易 艺 益 依 移 乙 医 异 衣 宜 伊 亦 遗 亿 仪 尾 隶 疑 忆 役 译 毅 翼 抑 谊 疫
ti, 体 提 题 替 梯
shi,是 时 十 实 使 事 式 世 什 示 石 史 市 始 识 适 势 师 施 士 视 试 食 似 室 诗 湿 释 氏 蚀 驶 尸 饰
zai,在 再 载 灾 栽 仔
fou,否
bu,不 部 步 布 补 薄 捕 埔
fu,复 府 服 负 夫 富 副 附 父 福 符 幅 妇 付 浮 腐 伏 抚 辅 赋 扶 覆 赴 傅 腹
liao,了 料 疗 僚 辽 
le,了 乐 勒 
wei,为 位 委 维 围 未 微 卫 味 谓 威 危 伟 唯 尾 违 魏 喂 纬 伪 慰 韦
you,有 由 又 油 右 优 友 游 幼 尤 忧 邮
huo,和 或 活 火 货 获 伙 霍 祸
he,和 合 何 河 核 荷 贺 喝 赫 呵
hu,和 护 互 核 湖 乎 呼 胡 户 忽 弧 虎 糊
ren,人 任 认 忍 仁
zhe,这 着 者 折 哲 浙
zhong,中 种 重 众 终 钟 仲 忠
tai,太 台 态 泰 抬 胎
da,大 打 达 答 搭
dai,大 代 带 待 隶 袋 戴 呆 贷 逮
shang,上 商 伤 尚 赏
gan,干 感 杆 赶 敢 甘
ge,个 各 革 格 歌 哥 割 隔 戈 阁
guo,国 过 果 活 锅 郭
wo,我 握 窝 
si,四 思 斯 死 食 司 似 丝 私 饲 寺
yao,要 药 摇 腰 咬 邀 姚 耀
ta,他 它 她 塔 踏
tuo,脱 托 拖 妥
lai,来 赖 莱 
yong,用 永 勇 拥 涌
men,们 门 闷 
sheng,生 声 省 升 胜 盛 绳 剩 圣 牲
dao,到 道 导 倒 刀 稻 岛 盗
zuo,作 做 左 坐 座 昨 
yu,于 与 育 鱼 余 预 语 雨 玉 域 遇 予 愈 欲 渔 宇 狱 御 羽 裕
xu,许 需 须 续 序 徐 虚 绪 蓄 叙
chu,出 处 除 助 初 础 触 楚 储 畜 雏
jiu,就 九 究 久 旧 酒 救 纠 
fen,分 粉 份 奋 纷 愤 酚 粪
ban,半 办 般 板 班 版 伴 搬 斑 拌
dui,对 队 堆
cheng,成 程 称 城 承 盛 乘 呈 诚 惩 撑
hui,会 回 挥 灰 恢 汇 毁 辉 绘 徽 惠
kuai,快 块
ke,可 科 克 客 刻 课 颗 壳 柯
zhu,主 住 注 助 逐 筑 猪 朱 驻 柱 株 铸 珠 竹 贮 诸 祝 煮
fa,发 法 阀 罚 乏 伐
nian,年 念 粘 
ning,宁 凝
dong,动 东 冬 洞 懂 冻 董
tong,同 通 统 铜 痛 筒 童 捅
gong,工 公 共 供 功 攻 贡 宫 巩 弓
ye,也 业 液 叶 夜 野 爷 页 冶
neng,能
xiong,雄 兄 胸 凶 熊
nai,耐 奶 乃
xia,下 夏 虾 峡 霞 辖
zi,子 自 资 字 紫 仔 姿 咨
shuo,说
shui,水 谁 税 睡
yue,月 越 约 乐 跃 阅 曰
chan,产
chong,重 充 冲 虫 崇
mian,面 免 棉 
er,而 二 儿 尔 耳 铒 
pang,旁
fang,方 放 防 房 访 纺 芳 仿 妨 
feng,风 封 丰 峰 锋 缝 凤 奉 冯 疯
wang,往 王 望 亡 网 忘 旺 汪
hou,后 候 厚 
duo,多 夺 朵
ding,定 顶 丁 订 钉 锭
xing,行 性 形 型 兴 刑 星 幸 姓 醒
heng,衡 横 恒
hang,行 航 杭
xue,学 雪 削
suo,所 缩 索 锁
min,民 敏 
dei,得 
jing,经 精 京 径 境 井 静 景 晶 竟 惊 警 净 睛 镜 敬 竞 茎
san,三 散 
zhi,之 制 质 只 直 知 指 治 志 至 织 支 值 置 止 致 职 植 纸 执 殖 脂 枝 智 秩 酯 汁 旨
jin,进 金 今 近 仅 紧 尽 斤 禁 津 浸 筋 晋 锦
zhao,着 照 朝 找 赵 召 招 罩
zhuo,着 桌 捉
deng,等 灯 登 邓
du,度 都 独 读 督 毒 渡 杜 肚 堵
zhai,寨 债 摘
jie,结 解 接 阶 节 界 介 借 揭 截 街 姐 洁 届 皆 杰
jia,家 加 价 甲 假 架 夹 钾 驾 佳
gu,固 故 古 顾 鼓 骨 谷 姑 股 估 孤
dian,电 点 典 店 淀 垫 殿
li,力 里 理 利 立 例 离 历 李 粒 璃 厘 黎 隶 礼 丽 励 吏 哩 厉
ru,如 入 乳
hua,化 花 华 话 划 画 滑
gao,高 告 搞 稿
qi,起 其 气 期 七 器 企 汽 齐 奇 旗 启 妻 弃 棋 漆 欺 骑
xiao,小 消 效 校 销 削 晓 硝 萧
wu,物 无 五 务 武 误 屋 恶 午 吴 舞 伍 污 乌 雾 吾 诬 悟
xian,现 线 先 县 显 限 鲜 弦 宪 险 献 纤 陷 闲 贤
liang,量 两 良 粮 亮 梁 辆 凉 俩
dou,都 斗 豆
cui,催 脆
ben,本 苯 奔
ji,机 系 及 基 级 计 几 即 济 极 积 集 记 际 技 击 继 纪 剂 既 激 急 鸡 季 奇 迹 绩 寄 挤 吉 籍 辑 疾 肌
dang,当 党 荡 挡 档 
cong,从 丛 葱
qu,去 区 取 曲 趣 趋 驱 渠 屈
ba,把 八 巴 吧 爸 罢 拔 霸 坝
pa,怕 爬
hao,好 号 毫 耗 豪 浩
ying,应 影 营 英 央 映 硬 迎 盈
kai,开 凯
huan,还 换 环 欢 缓 援 患 幻
hai,还 海 害 孩 
yin,因 音 引 印 银 阴 隐 饮 姻
xie,些 解 写 协 血 械 斜 谢 胁 鞋 谐 卸 歇
ran,然 燃 染 
jian,间 建 件 见 减 坚 检 简 渐 践 监 键 碱 柬 健 尖 鉴 艰 兼 舰 肩 剪 剑 箭
qian,前 千 钱 纤 潜 铅 牵 签 浅 迁
wai,外 歪 
tian,天 田 填 添 甜
zheng,政 正 争 证 整 承 征 蒸 郑 症
ri,日 
nuo,诺
na,那 哪 拿 纳 钠
nei,内
ne,呢
she,社 设 射 折 涉 舍 摄 
bing,并 病 兵 冰 丙 饼 柄
ping,平 评 瓶 凭 屏
pian,便 片 篇 偏 骗
beng,泵
xiang,相 向 想 象 响 项 降 香 乡 箱 像 祥 橡 详 享 湘 巷
quan,全 权 圈 泉 劝
biao,表 标 彪
yang,样 养 氧 阳 洋 央 扬 杨 秧 羊 仰
guan,关 管 观 官 馆 贯 惯 灌 冠 纶 罐
xin,新 心 信 辛 芯 欣
rui,瑞 锐
shu,数 术 书 属 树 输 述 束 熟 殊 署 疏 薯 叔 蔬 舒
fan,反 犯 范 翻 饭 繁 泛 凡 番 返 烦 
ni,你 尼 泥 逆 拟
meng,盟 蒙 梦 猛 孟
ming,明 命 名 鸣
kan,看 刊 勘 砍
yuan,原 员 元 院 圆 远 源 袁 愿 园 援 缘 怨
ma,马 妈 吗 麻 码 骂 嘛 抹
me,么 没 末 
mo,么 没 模 末 磨 脉 莫 摩 膜 墨 默 摸 抹 沫
pi,批 皮 坯 辟
bi,比 必 笔 避 壁 闭 币 毕 秘 碧 臂 彼 逼 鼻 辟
tan,谈 探 碳 弹 坦 炭 滩 叹 贪 摊
dan,但 单 担 蛋 弹 淡 丹 氮 胆 旦
yan,研 验 眼 严 言 盐 演 烟 延 岩 沿 颜 炎 掩 焰 燕 宴
ci,此 次 磁 词 刺 瓷 辞
bian,变 边 便 编 遍 辩 辨
tiao,条 调 跳 挑
mei,没 美 每 煤 梅 妹 眉 霉 酶
wen,问 文 温 闻 纹
xi,系 西 习 细 席 吸 析 息 喜 希 洗 烯 稀 戏 隙 熙 悉 锡 袭 惜 牺 溪 徙
jun,军 均 菌 君 匀
hen,很 恨 狠 痕 
qing,情 清 青 亲 轻 请 氢 庆 倾 卿
cuo,错 措
zui,最 罪 嘴
chi,持 吃 尺 池 齿 赤 迟 斥
zhan,展 战 占 站 粘 
luo,落 罗 螺 洛 络 逻
yun,运 云 匀 允 怨
chang,常 长 场 厂 唱 昌 偿 倡 肠 畅 尝
zong,总 宗 综 纵 
pin,品 频 贫
te,特
mou,某 谋
zhang,长 张 章 掌 障 丈 胀 涨 仗 帐 
qiu,求 球 秋 仇 丘
lao,老 劳 牢 捞
tou,头 投 透 偷 
liu,流 六 留 刘 硫 柳 馏 溜    # 183
lu,路 鲁 绿 陆 炉 露 录 卢
shao,少 烧 绍 招 削 稍 邵
tu,图 土 突 途 徒 涂 吐 凸
shan,山 单 善 闪 邓 陕 扇 
sha,接 沙 杀 哈 纱 砂 啥 
cha,接 土 查 差 察 茶 斜 插 
jiao,较 角 交 教 叫 觉 激 校 脚 胶 焦 酵 咬 浇 缴 搅 
qiang,将 强 控 枪 墙 抢 腔 
jiang,将 强 江 讲 降 浆 奖 疆 蒋 姜 酱 
zu,组 族 足 阻 祖 姐 租 
bie,别 秘 拔 
shou,手 受 收 首 守 熟 售 授 寿 瘦 
jue,角 决 觉 绝 乙 脚 掘 狂 屈 
gen,根 跟 痕 
lun,论 轮 伦 纶 
nong,农 浓 弄 
ou,区 握 欧 遇 偶 
bei,被 北 备 波 背 倍 贝 拔 悲 臂 辈 杯 葡 
an,干 安 广 按 厂 案 暗 岸 氨 胺 
ze,则 责 措 泽 侧 择 
lin,任 林 临 磷 邻 
ju,据 车 具 且 局 举 告 足 聚 距 句 居 剧 巨 矩 租 拒 渠 屈
nan,南 难 男 
gei,给 
shai,色 筛 晒 
se,色 寨 塞 
guang,光 广 横 
bao,保 报 包 胞 薄 暴 宝 炮 剥 爆 饱 抱 呆 堡 
cao,造 草 操 槽 曹 
zao,造 早 草 遭 槽 燥 
bo,百 白 般 波 服 跑 伯 怕 播 薄 暴 玻 剥 爆 拍 拔 拨 博 勃 番 驳
bai,百 白 派 排 伯 摆 败 拜 
gui,规 贵 概 归 轨 鬼 桂 硅 
re,热 若 
ling,领 另 令 冷 零 灵 磷 龄 陵 岭 棱 铃 
kou,口 扣 
ya,压 亚 呀 轧 牙 芽 鸭 御 吾 雅 歇 
zeng,增 曾 综 
ceng,增 层 曾 
sai,思 赛 塞 
lian,联 连 练 令 脸 零 炼 链 莲 
shen,什 身 信 深 参 神 甚 审 伸 震 申 沈 渗 绅 
hong,共 红 洪 港 鸿 轰 汪 烘 
gai,改 该 汽 核 概 盖 钙 
cai,采 才 材 财 菜 裁 彩 蔡 
zhuai,转 
zhuan,转 传 专 砖 
geng,更 硬 耕 
qie,切 且 漆 
su,速 素 苏 诉 缩 塑 肃 搬 俗 宿 
juan,身 卷 圈 捐 
che,车 彻 尺 池 撤 斥 拆 
lie,例 列 烈 裂 累 劣 
zhen,真 针 振 镇 阵 震 珍 填 侦 
wan,万 完 晚 免 园 湾 弯 玩 碗 顽 烷 
mu,目 木 母 模 亩 莫 牧 幕 姆 穆 
die,至 涉 爹 叠 
zou,走 族 奏 趣 
kuan,完 宽 款 
lei,类 雷 累 勒 泪 
que,确 却 缺 屈 
mi,米 密 秘 摩 迷 辟 
kong,空 控 孔 恐 腔 
kuang,况 矿 呈 兄 狂 框 
chuan,传 船 穿 川 串 
qun,群 
ruan,需 软 
duan,段 断 端 短 锻 
la,拉 落 啦 蓝 蜡 腊 
lv,律 率 绿 虑 氯 累 旅 滤 铝 
cu,且 促 粗 趣 
zhuang,装 状 庄 壮 撞 
suan,算 酸 
rong,容 溶 隔 荣 熔 融 绒 
fei,非 费 飞 肥 废 沸 
zhou,周 育 注 州 轴 逐 洲 舟 祝 扭 骤 皱 
pan,半 般 片 判 盘 繁 伴 叛 番 拌 
han,感 厂 含 汉 函 汗 甘 喊 寒 旱 韩 
tuan,团 税 
gou,构 够 句 购 沟 狗 勾 钩 
chen,称 陈 沉 尘 臣 填 晨 沈 
zhun,准 
lve,率 略 
shuai,率 衰 
sou,族 搜 
cou,族 奏 趣 
huai,划 坏 怀 坯 淮 
xuan,选 宣 旋 暖 悬 玄 
cun,存 村 寸 
mao,毛 矛 耗 贸 描 貌 冒 帽 
qin,亲 侵 秦 琴 勤 浸 
zha,查 插 扎 轧 炸 蜡 册 
chai,查 差 柴 拆 
pai,派 排 迫 拍 牌 
mai,派 买 麦 卖 脉 埋 哩 迈 
yo,育 
kuo,适 括 扩 阔 
pao,包 跑 胞 炮 泡 抱 抛 
diao,调 掉 跳 刀 挑 吊 鸟 雕 
man,满 慢 幕 埋 漫 曼 
can,参 残 惨 
cen,参 
ting,听 停 庭 廷 挺 厅 烃 亭 艇 
tie,铁 占 贴 
sui,随 虽 岁 碎 穗 遂 
pei,配 坏 培 倍 陪 
nv,女 
huang,黄 皇 横 荒 簧 慌 
tui,推 脱 税 退 追 弟 腿 
bang,帮 旁 邦 棒 彭 
po,破 迫 繁 坡 婆 霸 番 颇 泼 
zen,怎 
nu,仅 努 奴 怒 
ai,爱 奇 埃 碍 呆 乃 哀 矮 
chao,朝 超 潮 炒 
zhui,致 垂 追 锥 
hei,黑 
xiu,修 秀 休 袖 宿 
song,送 松 宋 讼 
chun,春 纯 醇 
za,杂 扎 咱 
chuang,创 床 窗 葱 
gang,抗 钢 刚 港 纲 缸 岗 
kang,抗 康 奋 荒 坑 杭 
kao,考 靠 搞 
ce,策 测 侧 册 
ku,古 苦 库 跨 哭 圣 掘 酷 枯 
e,阿 啊 额 恶 俄 胺 饿 
a,阿 啊 呵 
shuang,双 
rang,让 壤 
qia,客 卡 恰 
leng,冷 棱 
reng,仍 耳 
tun,逐 吨 吴 吞 
kun,混 困 卵 昆 
gun,混 卷 滚 辊 
hun,混 婚 昆 昏 
nie,哪 泥 幸 
xun,迅 训 循 讯 巡 寻 旬 
ruo,若 弱 
kei,刻 
gua,括 挂 瓜 刮 
qiao,搞 校 桥 招 削 焦 巧 壳 硝 侨 悄 乔 瞧 敲 
sun,损 孙 
pu,普 暴 剥 埔 铺 谱 扶 扑 葡 堡 
kui,缺 亏 
long,龙 弄 隆 笼 垄 
dun,盾 吨 顿 
shun,盾 顺 巡 
tao,讨 套 跳 逃 挑 陶 桃 姚 萄 
luan,乱 卵 
lan,兰 蓝 栏 烂 览 缆 
shei,谁 
chuo,促 
rou,肉 柔 揉 
chui,垂 吹 
niu,牛 扭 
zhua,抓 
niang,娘 
miao,苗 描 秒 庙 妙 
lou,露 楼 漏 牢 
mie,灭 
tang,糖 堂 唐 汤 塘 躺 
run,润 
ha,哈 虾 呵 
nao,脑 闹 
wa,瓦 挖 鞋 
ka,卡 
bin,份 宾 滨 
mang,忙 
chou,抽 筹 扭 仇 
peng,旁 庄 朋 碰 棚 膨 彭 
nin,您 
zan,赞 咱 暂 
en,恩 
lang,朗 浪 郎 
cang,藏 仓 苍 
zang,藏 脏 
sa,萨 撒 蔡 
pen,喷 盆 
ken,肯 狠 
ga,轧 夹 
zuan,钻 
ca,擦 拆 蔡 
rao,绕 扰 
zun,尊 遵 
guai,怪 
qiong,穷 
sen,森 
kua,跨 
sao,扫 燥 嫂 
piao,票 飘 漂 
teng,腾 
nuan,暖 
nen,嫩 
ao,奥 
niao,鸟 
shua,刷 
fo,佛 
ang,仰 昂 
sang,桑 丧 
keng,坑 
diu,丢 
lia,俩 
