de,的 地 得 德 ,4
yi,一 以 义 意 已 议 易 艺 益 依 移 乙 医 异 衣 宜 伊 亦 遗 亿 仪 疑 忆 役 译 毅 翼 抑 谊 疫 ,30
shi,是 时 十 实 使 事 式 世 示 石 史 市 始 识 适 失 势 师 施 士 视 试 食 似 室 诗 湿 释 氏 蚀 驶 尸 饰 ,33
zai,在 再 载 灾 栽 仔 ,6
bu,不 部 步 布 补 捕 埔 ,7
le,了 乐 ,2
you,有 由 又 油 右 优 友 游 幼 尤 忧 邮 ,12
he,和 合 何 河 核 荷 贺 喝 赫 呵 ,10
ren,人 任 认 忍 仁 ,5
zhe,这 着 者 折 哲 浙 ,6
zhong,中 种 重 众 终 钟 仲 忠 ,8
da,大 打 达 答 搭 ,5
wei,为 位 委 维 围 未 微 卫 味 谓 威 危 伟 唯 尾 违 魏 喂 纬 伪 慰 韦 ,22
shang,上 商 伤 尚 赏 ,5
ge,个 各 革 格 歌 哥 割 隔 戈 阁 ,10
guo,国 过 果 锅 郭 ,5
wo,我 握 窝 ,3
yao,要 药 摇 腰 咬 邀 姚 耀 ,8
ta,他 它 她 塔 踏 ,5
lai,来 赖 莱 ,3
yong,用 永 勇 拥 涌 ,5
men,们 门 闷 ,3
sheng,生 声 省 升 胜 盛 绳 剩 圣 牲 ,10
dao,到 道 导 倒 刀 稻 岛 盗 ,8
zuo,作 做 左 坐 座 昨 ,6
yu,于 与 育 鱼 余 预 语 雨 玉 域 遇 予 愈 欲 渔 宇 狱 御 羽 裕 ,20
chu,出 处 除 初 础 触 楚 储 畜 雏 ,10
jiu,就 九 究 久 旧 酒 救 纠 ,8
fen,分 粉 份 奋 纷 愤 酚 粪 ,8
dui,对 队 堆 ,3
cheng,成 程 称 城 承 乘 呈 诚 惩 撑 ,10
hui,会 回 挥 灰 恢 汇 毁 辉 绘 徽 惠 ,11
ke,可 科 克 客 刻 课 颗 壳 柯 ,9
zhu,主 住 注 助 逐 筑 猪 朱 驻 柱 株 铸 珠 竹 贮 诸 祝 煮 ,18
fa,发 法 阀 罚 乏 伐 ,6
nian,年 念 ,2
dong,动 东 冬 洞 懂 冻 董 ,7
tong,同 通 统 铜 痛 筒 童 捅 ,8
gong,工 公 共 供 功 攻 贡 宫 巩 弓 ,10
ye,也 业 液 叶 夜 野 爷 页 冶 ,9
neng,能 ,1
xia,下 夏 虾 峡 霞 辖 ,6
zi,子 自 资 字 紫 姿 咨 ,7
shuo,说 ,1
chan,产 ,1
mian,面 免 棉 ,3
er,而 二 儿 尔 耳 铒 ,6
fang,方 放 防 房 访 纺 芳 仿 妨 ,9
hou,后 候 厚 ,3
duo,多 夺 朵 ,3
ding,定 顶 丁 订 钉 锭 ,6
xing,行 性 形 型 兴 刑 星 幸 姓 醒 ,10
xue,学 血 雪 削 ,4
suo,所 缩 索 锁 ,4
min,民 敏 ,2
jing,经 精 京 径 境 井 静 景 晶 竟 惊 警 净 睛 镜 敬 竞 茎 ,18
san,三 散 ,2
zhi,之 制 质 只 直 知 指 治 志 至 织 支 值 置 止 致 职 植 纸 执 殖 脂 枝 智 秩 酯 汁 旨 掷 ,29
jin,进 金 今 近 仅 紧 尽 斤 禁 津 劲 浸 筋 晋 锦 ,15
deng,等 灯 登 邓 ,4
du,度 独 读 督 毒 渡 杜 肚 堵 ,9
jia,家 加 价 甲 假 架 夹 钾 驾 佳 ,10
dian,电 点 典 店 淀 垫 殿 ,7
li,力 里 理 利 立 例 离 历 李 粒 璃 厘 黎 隶 礼 丽 励 吏 哩 厉 ,20
ru,如 入 乳 ,3
shui,水 税 睡 ,3
hua,化 花 华 话 划 画 滑 ,7
gao,高 告 搞 稿 ,4
qi,起 其 气 期 七 器 企 汽 齐 奇 旗 启 妻 弃 棋 漆 欺 骑 ,18
xiao,小 消 效 校 销 晓 硝 萧 ,8
wu,物 无 五 务 武 误 屋 午 吴 舞 伍 污 乌 雾 吾 诬 悟 ,17
xian,现 线 先 县 显 限 鲜 弦 宪 险 献 纤 陷 闲 贤 ,15
liang,量 两 良 粮 亮 梁 辆 凉 ,8
dou,都 斗 豆 ,3
ti,体 提 题 替 梯 ,5
ji,机 及 基 级 计 几 即 济 极 积 集 记 际 技 击 继 纪 剂 既 激 急 鸡 季 迹 绩 寄 挤 吉 籍 辑 疾 肌 ,32
dang,当 党 荡 挡 档 ,5
cong,从 丛 葱 ,3
ben,本 苯 奔 ,3
qu,去 区 取 曲 趣 趋 驱 渠 屈 ,9
ba,把 八 巴 吧 爸 罢 拔 霸 坝 ,9
hao,好 号 毫 耗 豪 浩 ,6
ying,应 影 营 英 映 硬 迎 盈 ,8
kai,开 凯 ,2
hai,还 海 害 孩 ,4
yin,因 音 引 印 银 阴 隐 饮 姻 ,9
xie,些 写 协 械 斜 谢 胁 鞋 谐 卸 歇 ,11
ran,然 燃 染 ,3
qian,前 千 钱 潜 铅 牵 签 浅 迁 ,9
wai,外 歪 ,2
tian,天 田 填 添 甜 ,5
zheng,政 正 争 证 整 征 蒸 郑 症 ,9
si,四 思 斯 死 司 丝 私 饲 寺 ,9
ri,日 ,1
na,那 哪 拿 纳 钠 ,5
she,社 设 射 涉 舍 摄 ,6
ping,平 评 瓶 凭 屏 ,5
xiang,相 向 想 象 响 项 香 乡 箱 像 祥 橡 详 享 湘 巷 ,16
quan,全 权 圈 泉 劝 ,5
biao,表 标 彪 ,3
jian,间 建 件 见 减 坚 检 简 渐 践 监 键 碱 柬 健 尖 鉴 艰 兼 舰 肩 剪 剑 箭 ,24
yang,样 养 氧 阳 洋 央 扬 杨 秧 羊 仰 ,11
guan,关 管 观 官 馆 贯 惯 灌 冠 罐 ,10
xin,新 心 信 辛 芯 欣 ,6
nei,内 ,1
shu,数 术 书 属 树 输 述 束 熟 殊 署 疏 薯 叔 蔬 舒 ,16
fan,反 犯 范 翻 饭 繁 泛 凡 番 返 烦 ,11
ni,你 尼 泥 逆 拟 ,5
ming,明 命 名 鸣 ,4
kan,看 刊 勘 砍 ,4
yuan,原 员 元 院 圆 远 源 袁 愿 园 援 缘 怨 ,13
me,么 ,1
bi,比 必 笔 避 壁 闭 币 毕 碧 臂 彼 逼 鼻 ,13
huo,或 活 火 货 获 伙 霍 祸 ,8
dan,但 单 担 蛋 弹 淡 丹 氮 胆 旦 ,10
di,第 低 底 帝 敌 弟 抵 滴 递 涤 ,10
ci,此 次 磁 词 刺 瓷 辞 ,7
bian,变 边 便 编 遍 辩 辨 ,7
tiao,条 跳 挑 ,3
mei,没 美 每 煤 梅 妹 眉 霉 酶 ,9
jie,结 解 接 阶 节 界 介 借 揭 截 街 姐 洁 届 皆 杰 ,16
wen,问 文 温 稳 闻 纹 ,6
yue,月 越 约 跃 阅 曰 ,6
xi,系 西 习 细 席 吸 析 息 喜 希 洗 烯 稀 戏 隙 熙 悉 锡 袭 惜 牺 溪 徙 ,23
jun,军 均 菌 君 ,4
hen,很 恨 狠 痕 ,4
qing,情 清 青 轻 请 氢 庆 倾 卿 ,9
zui,最 罪 嘴 ,3
dai,代 带 待 袋 戴 呆 贷 逮 ,8
bing,并 病 兵 冰 丙 饼 柄 ,7
zhan,展 战 占 站 粘 ,5
liao,料 疗 僚 辽 ,4
chang,常 场 厂 唱 昌 偿 倡 肠 畅 尝 ,10
zong,总 宗 综 纵 ,4
pin,品 频 贫 ,3
te,特 ,1
zhang,长 张 章 掌 障 丈 胀 涨 仗 帐 ,10
qiu,求 球 秋 丘 ,4
lao,老 劳 牢 捞 ,4
tou,头 投 透 偷 ,4
liu,流 六 留 刘 硫 柳 馏 溜 ,8
lu,路 鲁 陆 炉 露 录 卢 ,7
shao,少 烧 绍 稍 邵 ,5
tu,图 土 突 途 徒 涂 吐 凸 ,8
shan,山 善 闪 陕 扇 ,5
jiao,较 角 交 教 叫 脚 胶 焦 酵 浇 缴 搅 ,12
jiang,将 江 讲 降 浆 奖 疆 蒋 姜 酱 ,10
zu,组 族 足 阻 祖 租 ,6
bie,别 ,1
shou,手 受 收 首 守 售 授 寿 瘦 ,9
gen,根 跟 ,2
lun,论 轮 伦 纶 ,4
yun,运 云 匀 允 ,4
nong,农 浓 弄 ,3
qiang,强 枪 墙 抢 腔 ,5
jue,决 觉 绝 掘 ,4
bei,被 北 备 背 倍 贝 悲 辈 杯 ,9
gan,干 感 杆 赶 敢 甘 ,6
ze,则 责 泽 择 ,4
ju,据 具 局 举 聚 距 句 居 剧 巨 矩 拒 ,12
nan,南 难 男 ,3
gei,给 ,1
se,色 ,1
guang,光 广 ,2
bao,保 报 包 胞 薄 暴 宝 爆 饱 抱 堡 ,11
zao,造 早 遭 燥 ,4
bai,百 白 摆 败 拜 ,5
gui,规 贵 归 轨 鬼 桂 硅 ,7
re,热 ,1
ling,领 另 令 零 灵 龄 陵 岭 铃 ,9
kou,口 扣 ,2
ya,压 亚 呀 轧 牙 芽 鸭 雅 ,8
zeng,增 ,1
lian,联 连 练 脸 炼 链 莲 ,7
shen,什 身 深 神 甚 审 伸 申 沈 渗 绅 ,11
gai,改 该 概 盖 钙 ,5
cai,采 才 材 财 菜 裁 彩 蔡 ,8
zhuan,转 专 砖 ,3
geng,更 耕 ,2
feng,风 封 丰 峰 锋 缝 凤 奉 冯 疯 ,10
qie,切 且 ,2
su,速 素 苏 诉 塑 肃 俗 宿 ,8
an,安 按 案 暗 岸 氨 胺 ,7
che,车 彻 撤 ,3
zhen,真 针 振 镇 阵 震 珍 侦 ,8
wan,万 完 晚 湾 弯 玩 碗 顽 烷 ,9
mu,目 木 母 亩 牧 幕 姆 穆 ,8
zou,走 奏 ,2
lei,类 雷 累 勒 泪 ,5
que,确 却 缺 ,3
ma,马 妈 吗 麻 码 骂 嘛 ,7
mi,米 密 秘 迷 ,4
kong,空 控 孔 恐 ,4
kuang,况 矿 狂 框 ,4
chuan,传 船 穿 川 串 ,5
xu,许 需 须 续 序 徐 虚 绪 蓄 叙 ,10
qun,群 ,1
duan,段 断 端 短 锻 ,5
yan,研 验 眼 严 言 盐 演 烟 延 岩 沿 颜 炎 掩 焰 燕 宴 ,17
la,拉 啦 蜡 腊 ,4
lin,林 临 磷 邻 ,4
lv,律 率 绿 虑 氯 旅 滤 铝 ,8
zhuang,装 状 庄 壮 撞 ,5
suan,算 酸 ,2
chi,持 吃 尺 池 齿 赤 迟 斥 ,8
fu,复 府 服 负 夫 富 副 附 父 福 符 幅 妇 付 浮 腐 伏 抚 辅 赋 佛 扶 覆 赴 傅 腹 ,26
rong,容 溶 荣 熔 融 绒 ,6
fei,非 费 飞 肥 废 沸 ,6
zhou,周 州 轴 洲 舟 骤 皱 ,7
ban,半 办 般 板 班 版 伴 搬 斑 拌 ,10
lie,列 烈 裂 劣 ,4
tuan,团 ,1
wang,往 王 望 亡 网 忘 旺 汪 ,8
gou,构 够 购 沟 狗 勾 钩 ,7
tai,太 台 态 泰 抬 胎 ,6
zhun,准 ,1
xuan,选 宣 旋 悬 玄 ,5
cun,存 村 寸 ,3
mao,毛 矛 贸 貌 冒 帽 ,6
qin,亲 侵 秦 琴 勤 ,5
kuai,快 块 ,2
cha,查 差 察 茶 插 ,5
pai,派 排 拍 牌 ,4
ceng,层 曾 ,2
pian,片 篇 偏 骗 ,4
diao,调 掉 吊 雕 ,4
man,满 慢 漫 曼 ,4
zhao,照 找 赵 召 招 罩 ,6
can,参 残 惨 ,3
hong,红 洪 鸿 轰 烘 ,5
ting,听 停 庭 廷 挺 厅 烃 亭 艇 ,9
tie,铁 贴 ,2
sui,随 虽 岁 碎 穗 遂 ,6
pei,配 培 陪 ,3
nv,女 ,1
huang,黄 皇 荒 簧 慌 ,5
tui,推 退 腿 ,3
tan,谈 探 碳 坦 炭 滩 叹 贪 摊 ,9
ne,呢 ,1
han,含 汉 函 汗 喊 寒 旱 韩 ,8
pi,批 皮 坯 辟 ,4
luo,落 罗 螺 洛 络 逻 ,6
bang,帮 邦 棒 ,3
po,破 迫 坡 婆 颇 泼 ,6
zen,怎 ,1
gu,固 故 古 顾 鼓 骨 谷 姑 股 估 孤 ,11
bo,波 伯 播 玻 剥 拨 博 勃 驳 ,9
ai,爱 埃 碍 哀 矮 ,5
chao,朝 超 潮 炒 ,4
chong,充 冲 虫 崇 ,4
pan,判 盘 叛 ,3
hu,护 互 湖 乎 呼 胡 户 忽 弧 虎 糊 ,11
mou,某 谋 ,2
hei,黑 ,1
xiu,修 秀 休 袖 ,4
song,送 松 宋 讼 ,4
chun,春 纯 醇 ,3
za,杂 ,1
chuang,创 床 窗 ,3
kang,抗 康 ,2
kao,考 靠 ,2
huai,坏 怀 淮 ,3
ce,策 测 侧 册 ,4
huan,换 环 欢 缓 患 幻 ,6
pao,跑 炮 泡 抛 ,4
gang,钢 刚 港 纲 缸 岗 ,6
cao,草 操 槽 曹 ,4
a,阿 啊 ,2
shuang,双 ,1
rang,让 壤 ,2
fou,否 ,1
lve,略 ,1
leng,冷 棱 ,2
chen,陈 沉 尘 臣 晨 ,5
reng,仍 ,1
cuo,错 措 ,2
ku,苦 库 哭 酷 枯 ,5
hun,混 婚 昏 ,3
xun,迅 训 循 讯 巡 寻 旬 ,7
ruo,若 弱 ,2
kuo,括 扩 阔 ,3
mo,模 末 磨 莫 摩 膜 墨 默 摸 抹 沫 ,11
sun,损 孙 ,2
pu,普 铺 谱 扑 葡 ,5
tuo,脱 托 拖 妥 ,4
long,龙 隆 笼 垄 ,4
sha,沙 杀 纱 砂 啥 ,5
dun,盾 吨 顿 ,3
tao,讨 套 逃 陶 桃 萄 ,6
luan,乱 卵 ,2
ning,宁 凝 ,2
lan,兰 蓝 栏 烂 览 缆 ,6
shei,谁 ,1
shun,顺 ,1
kun,困 昆 ,2
mai,买 麦 卖 脉 埋 迈 ,6
pa,怕 爬 ,2
cu,促 粗 ,2
rou,肉 柔 揉 ,3
kuan,宽 款 ,2
chui,垂 吹 ,2
niu,牛 扭 ,2
zhua,抓 ,1
niang,娘 ,1
meng,盟 蒙 梦 猛 孟 ,5
heng,衡 横 恒 ,3
nai,耐 奶 乃 ,3
e,额 恶 俄 饿 ,4
juan,卷 捐 ,2
miao,苗 描 秒 庙 妙 ,5
hang,航 杭 ,2
mie,灭 ,1
sai,赛 塞 ,2
tang,糖 堂 唐 汤 塘 躺 ,6
nu,努 奴 怒 ,3
run,润 ,1
ha,哈 ,1
nao,脑 闹 ,2
ou,欧 偶 ,2
zhai,寨 债 摘 ,3
wa,瓦 挖 ,2
ka,卡 ,1
mang,忙 ,1
chou,抽 筹 仇 ,3
zhui,追 锥 ,2
xiong,雄 兄 胸 凶 熊 ,5
lou,楼 漏 ,2
pang,旁 ,1
qiao,桥 巧 侨 悄 乔 瞧 敲 ,7
nin,您 ,1
zan,赞 咱 暂 ,3
en,恩 ,1
lang,朗 浪 郎 ,3
cang,藏 仓 苍 ,3
zha,扎 炸 ,2
sa,萨 撒 ,2
pen,喷 盆 ,2
gua,挂 瓜 刮 ,3
ruan,软 ,1
gun,滚 辊 ,2
ken,肯 ,1
zuan,钻 ,1
ca,擦 ,1
rao,绕 扰 ,2
peng,朋 碰 棚 膨 彭 ,5
chai,柴 拆 ,2
beng,泵 ,1
zun,尊 遵 ,2
rui,瑞 锐 ,2
guai,怪 ,1
qiong,穷 ,1
sen,森 ,1
cui,催 脆 ,2
kua,跨 ,1
sao,扫 嫂 ,2
die,爹 叠 ,2
zhuo,桌 捉 ,2
piao,票 飘 漂 ,3
qia,恰 ,1
teng,腾 ,1
nuan,暖 ,1
bin,宾 滨 ,2
shai,筛 晒 ,2
nen,嫩 ,1
ao,奥 ,1
niao,鸟 ,1
shua,刷 ,1
kui,亏 ,1
sang,桑 丧 ,2
shuai,衰 ,1
zang,脏 ,1
keng,坑 ,1
sou,搜 ,1
diu,丢 ,1
ang,昂 ,1
nuo,诺 ,1
lia,俩 ,1
tun,吞 ,1
